"name","age","position","college","draftteam","draftposition","draftyear","born","experience"
"Alaa Abdelnaby",54,"Power Forward","Duke","Portland Trail Blazers",25,1990,"1968-06-24",5
"Zaid Abdul-Aziz",76,"Center and Power Forward","Iowa State","Cincinnati Royals",5,1968,"1946-04-07",10
"Kareem Abdul-Jabbar",75,"Center","UCLA","Milwaukee Bucks",1,1969,"1947-04-16",20
"Mahmoud Abdul-Rauf",53,"Point Guard","LSU","Denver Nuggets",3,1990,"1969-03-09",9
"Tariq Abdul-Wahad",48,"Shooting Guard","Michigan, San Jose State","Sacramento Kings",11,1997,"1974-11-03",6
"Shareef Abdur-Rahim",46,"Power Forward, Small Forward, and Center","California","Vancouver Grizzlies",3,1996,"1976-12-11",12
"Tom Abernethy",68,"Small Forward and Power Forward",Indiana,"Los Angeles Lakers",9,1976,1954-05-06,5
"Forest Able",90,"Guard","Western Kentucky","Syracuse Nationals",5,1956,"1932-07-27",1
"John Abramovic",81,"Forward","Salem University","none",0,0,"1919-02-09",2
"Álex Abrines",29,"Shooting Guard","none",Oklahoma City Thunder,2,2013,"1993-08-01",0
"Precious Achiuwa",23,"Center and Power Forward","Memphis","Miami Heat",20,2020,"1999-09-19",0
"Alex Acker",39,"Shooting Guard","Pepperdine","Detroit Pistons",30,2005,"1983-01-21",2
"Don Ackerman",80,"Point Guard","Long Island University","New York Knicks",2,1953,"1930-09-04",1
"Mark Acres",60,"Center","Oral Roberts","Dallas Mavericks",16,1985,"1962-11-15",6
"Bud Acton",80,"Small Forward","Hillsdale College","none",0,0,"1942-01-11",1
"Quincy Acy",32,"Power Forward and Small Forward","Baylor","Toronto Raptors",7,2012,"1990-10-06",0
"Alvan Adams",68,"Center and Power Forward","Oklahoma","Phoenix Suns",4,1975,"1954-07-19",13
"Don Adams",66,"Small Forward","Northwestern","San Diego Rockets",1,1970,"1947-11-27",7
"George Adams",73,"Small Forward","Gardner-Webb University","Milwaukee Bucks",16,1972,"1949-05-15",3
"Hassan Adams",38,"Shooting Guard","Arizona","New Jersey Nets",24,2006,"1984-06-20",2
"Jaylen Adams",26,"Point Guard","St. Bonaventure","none",0,0,"1996-05-04",0
"Jordan Adams",28,"Shooting Guard","UCLA","Memphis Grizzlies",22,2014,"1994-07-08",2
"Michael Adams",59,"Point Guard","Boston College","Sacramento Kings",19,1985,"1963-01-19",11
"Steven Adams",29,"Center","Pitt","Oklahoma City Thunder",12,2013,"1993-07-20",0
"Rafael Addison",58,"Small Forward","Syracuse","Phoenix Suns",15,1986,"1964-07-22",6
"Bam Adebayo",25,"Center and Power Forward","Kentucky","Miami Heat",14,2017,"1997-07-18",0
"Deng Adel",25,"Small Forward","Louisville","none",0,0,"1997-02-01",0
"Rick Adelman",76,"Point Guard","Loyola Marymount","San Diego Rockets",1,1968,"1946-06-16",7
"Jeff Adrien",36,"Power Forward","UConn","none",0,0,"1986-02-10",5
"Arron Afflalo",37,"Shooting Guard and Small Forward","UCLA","Detroit Pistons",27,2007,"1985-10-15",11
"Ochai Agbaji",22,"Shooting Guard","Kansas","Cleveland Cavaliers",14,2022,"2000-04-20",0
"Maurice Ager",38,"Shooting Guard","Michigan State","Dallas Mavericks",28,2006,"1984-02-09",4
"Mark Aguirre",63,"Small Forward","DePaul","Dallas Mavericks",1,1981,"1959-12-10",13
"Blake Ahearn",38,"Point Guard","Missouri State","none",0,0,"1984-05-27",3
"Danny Ainge",63,"Shooting Guard and Point Guard","BYU","Boston Celtics",8,1981,"1959-03-17",14
"Matt Aitch",62,"Power Forward","Moberly Area Community College, Michigan State","Detroit Pistons",2,1967,"1944-09-21",1
"Alexis Ajinça",34,"Center and Power Forward","none","Charlotte Bobcats",20,2008,"1988-05-06",7
"Henry Akin",75,"Power Forward and Center","Morehead State University","New York Knicks",1,1966,"1944-07-31",3
"Josh Akognon",36,"Point Guard","Washington State, Cal State Fullerton","none",0,0,"1986-02-10",1
"DeVaughn Akoon-Purcell",29,"Shooting Guard","Illinois State","none",0,0,"1993-06-05",0
"Solomon Alabi",34,"Center","Florida State","Dallas Mavericks",20,2010,"1988-03-21",2
"Mark Alarie",59,"Power Forward","Duke","Denver Nuggets",18,1986,"1963-12-11",5
"Gary Alcorn",70,"Center","Fresno State","Minneapolis Lakers",1,1959,"1936-10-08",2
"Santi Aldama",21,"Power Forward","Loyola (MD)","Utah Jazz",30,2021,"2001-01-10",0
"Furkan Aldemir",31,"Power Forward","none","Los Angeles Clippers",23,2012,"1991-08-09",1
"Cole Aldrich",34,"Center","Kansas","New Orleans Hornets",11,2010,"1988-10-31",8
"LaMarcus Aldridge",37,"Power Forward and Center","Texas","Chicago Bulls",2,2006,"1985-07-19",0
"Chuck Aleksinas",63,"Center","Kentucky, UConn","Chicago Bulls",7,1982,"1959-02-26",1
"Cliff Alexander",27,"Power Forward","Kansas","none",0,0,"1995-11-16",1
"Cory Alexander",49,"Point Guard and Shooting Guard","Virginia","San Antonio Spurs",29,1995,"1973-06-22",7
"Courtney Alexander",45,"Point Guard and Shooting Guard","Virginia, Fresno State","Orlando Magic",13,2000,"1977-04-27",3
"Gary Alexander",53,"Power Forward","South Florida","none",0,0,"1969-11-01",1
"Joe Alexander",35,"Small Forward","West Virginia","Milwaukee Bucks",8,2008,"1986-12-26",2
"Kyle Alexander",26,"Center","Tennessee","none",0,0,"1996-10-21",0
"Ty-Shon Alexander",24,"Shooting Guard","Creighton","none",0,0,"1998-07-16",0
"Victor Alexander",53,"Center","Iowa State","Golden State Warriors",17,1991,"1969-08-31",5
"Nickeil Alexander-Walker",24,"Shooting Guard","Virginia Tech","Brooklyn Nets",17,2019,"1998-09-02",0
"Steve Alford",58,"Point Guard","Indiana","Dallas Mavericks",3,1987,"1964-11-23",4
"Rawle Alkins",25,"Shooting Guard","Arizona","none",0,0,"1997-10-29",0
"Bill Allen",0,"Center","New Mexico State","none",0,0,"1945-01-01",1
"Bob Allen",76,"Power Forward","Marshall","San Francisco Warriors",7,1968,"1946-07-17",1
"Grayson Allen",27,"Shooting Guard","Duke","Utah Jazz",21,2018,"1995-10-08",0
"Jarrett Allen",24,"Center","Texas","Brooklyn Nets",22,2017,"1998-04-21",0
"Jerome Allen",49,"Shooting Guard","Penn","Minnesota Timberwolves",20,1995,"1973-01-28",2
"Kadeem Allen",29,"Point Guard","Arizona","Boston Celtics",23,2017,"1993-01-15",0
"Lavoy Allen",33,"Power Forward and Center","Temple","Philadelphia 76ers",20,2011,"1989-02-04",6
"Lucius Allen",75,"Point Guard","UCLA","Seattle SuperSonics",3,1969,"1947-09-26",10
"Malik Allen",44,"Power Forward","Villanova","none",0,0,"1978-06-27",10
"Randy Allen",57,"Shooting Guard","Florida State","none",0,0,"1965-01-26",2
"Ray Allen",47,"Shooting Guard","UConn","Minnesota Timberwolves",5,1996,"1975-07-20",18
"Tony Allen",40,"Shooting Guard, Small Forward, and Point Guard","Butler County Community College, Oklahoma State","Boston Celtics",25,2004,"1982-01-11",14
"Willie Allen",73,"Power Forward","Miami (FL)","Baltimore Bullets",9,1971,"1949-02-08",1
"Odis Allison",73,"Small Forward","UNLV","Golden State Warriors",8,1971,"1949-10-02",1
"Lance Allred",41,"Center","Utah, Weber State","none",0,0,"1981-02-02",1
"Darrell Allums",64,"Power Forward","UCLA","Dallas Mavericks",11,1980,"1958-09-12",1
"Morris Almond",37,"Shooting Guard","Rice University","Utah Jazz",25,2007,"1985-02-02",3
"Derrick Alston",50,"Center","Duquesne","Philadelphia 76ers",6,1994,"1972-08-20",3
"Rafer Alston",46,"Point Guard","Fresno State","Milwaukee Bucks",10,1998,"1976-07-24",11
"Peter Aluma",46,"Center","Liberty","none",0,0,"1973-04-23",1
"Jose Alvarado",24,"Point Guard","Georgia Tech","none",0,0,"1998-04-12",0
"John Amaechi",52,"Center and Power Forward","Vanderbilt, Penn State","none",0,0,"1970-11-26",5
"Ashraf Amaya",51,"Power Forward","Southern Illinois","none",0,0,"1971-11-23",2
"Al-Farouq Aminu",32,"Power Forward and Small Forward","Wake Forest","Los Angeles Clippers",8,2010,"1990-09-21",0
"Lou Amundson",40,"Power Forward","UNLV","none",0,0,"1982-12-07",10
"Bob Anderegg",85,"Small Forward","Michigan State","New York Knicks",6,1959,"1937-08-24",1
"Chris Andersen",44,"Center and Power Forward","Blinn College","none",0,0,"1978-07-07",15
"David Andersen",42,"Power Forward and Center","none","Atlanta Hawks",8,2002,"1980-06-23",2
"Alan Anderson",40,"Small Forward and Shooting Guard","Michigan State","none",0,0,"1982-10-16",8
"Andy Anderson",73,"Shooting Guard and Point Guard","Canisius","Boston Celtics",9,1967,"1945-07-06",3
"Antonio Anderson",37,"Small Forward","Memphis","none",0,0,"1985-06-05",1
"Cliff Anderson",76,"Shooting Guard","Saint Joseph's","Los Angeles Lakers",4,1967,"1944-09-07",4
"Dan Anderson",79,"Center","Augsburg College","Philadelphia 76ers",3,1965,"1943-02-15",2
"Dan Anderson",71,"Point Guard and Shooting Guard","USC","Portland Trail Blazers",2,1974,"1951-01-01",2
"Derek Anderson",48,"Shooting Guard, Small Forward, and Point Guard","Ohio State, Kentucky","Cleveland Cavaliers",13,1997,"1974-07-18",11
"Dwight Anderson",59,"Point Guard","Kentucky, USC","Washington Bullets",18,1982,"1960-12-28",1
"Eric Anderson",48,"Power Forward","Indiana","none",0,0,"1970-05-26",2
"Greg Anderson",58,"Power Forward and Center","Houston","San Antonio Spurs",23,1987,"1964-06-22",10
"J.J. Anderson",62,"Small Forward","Bradley","Philadelphia 76ers",13,1982,"1960-09-23",3
"James Anderson",33,"Shooting Guard and Small Forward","Oklahoma State","San Antonio Spurs",20,2010,"1989-03-25",5
"Jerome Anderson",55,"Shooting Guard","West Virginia","Boston Celtics",17,1975,"1953-10-09",2
"Justin Anderson",29,"Small Forward and Shooting Guard","Virginia","Dallas Mavericks",21,2015,"1993-11-19",0
"Kenny Anderson",52,"Point Guard","Georgia Tech","New Jersey Nets",2,1991,"1970-10-09",14
"Kim Anderson",67,"Small Forward","Missouri","Portland Trail Blazers",6,1978,"1955-05-12",1
"Kyle Anderson",29,"Small Forward and Power Forward","UCLA","San Antonio Spurs",30,2014,"1993-09-20",0
"Michael Anderson",56,"Point Guard","Drexel","Indiana Pacers",23,1988,"1966-03-23",1
"Nick Anderson",54,"Shooting Guard and Small Forward","Illinois","Orlando Magic",11,1989,"1968-01-20",13
"Richard Anderson",62,"Power Forward and Center","UC Santa Barbara","San Diego Clippers",9,1982,"1960-11-19",6
"Ron Anderson",64,"Small Forward","Fresno State","Cleveland Cavaliers",3,1984,"1958-10-15",10
"Ryan Anderson",34,"Power Forward and Center","California","New Jersey Nets",21,2008,"1988-05-06",12
"Shandon Anderson",48,"Shooting Guard and Small Forward","Georgia","Utah Jazz",25,1996,"1973-12-31",10
